"","Rk","G","Date","Age","Tm","Column1","Opp","_1","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","Name"
"355",23,23,2022-12-02,"21-167","CLE",H,"ORL","W (+11)","1","38:21","9","10",".900","1","1","1.000","0","0",NA,"4","9","13","4","1","2","2","3","19","23.1","+15","Evan Mobley"
"356",24,24,2022-12-04,"21-169","CLE","@","NYK","L (-11)","1","39:00","4","9",".444","0","1",".000","3","5",".600","5","5","10","3","0","4","1","1","11","14.0","+1","Evan Mobley"
"357",25,25,2022-12-06,"21-171","CLE",H,"LAL","W (+14)","1","29:46","3","6",".500","0","1",".000","1","2",".500","3","9","12","2","1","1","0","5","7","9.5","+14","Evan Mobley"
"358",26,26,2022-12-09,"21-174","CLE",H,"SAC","L (-11)","1","40:36","5","13",".385","0","3",".000","7","9",".778","2","5","7","4","1","0","4","3","17","10.6","-4","Evan Mobley"
"359",27,27,2022-12-10,"21-175","CLE",H,"OKC","W (+8)","1","36:50","8","14",".571","2","3",".667","3","5",".600","3","9","12","3","0","0","2","4","21","16.9","+9","Evan Mobley"
"360",28,28,2022-12-12,"21-177","CLE","@","SAS","L (-1)","1","37:47","7","12",".583","0","0",NA,"3","4",".750","4","9","13","4","0","1","3","2","17","16.2","+2","Evan Mobley"
"361",29,29,2022-12-14,"21-179","CLE","@","DAL","W (+15)","1","35:00","5","9",".556","0","1",".000","4","4","1.000","2","5","7","6","0","1","1","5","14","14.5","+11","Evan Mobley"
"362",30,30,2022-12-16,"21-181","CLE",H,"IND","W (+6)","1","31:06","6","10",".600","1","2",".500","3","4",".750","0","9","9","2","0","2","1","2","16","14.7","+10","Evan Mobley"
"363",31,31,2022-12-17,"21-182","CLE",H,"DAL","W (+1)","1","36:22","6","10",".600","1","1","1.000","4","5",".800","3","5","8","4","0","0","0","3","17","17.2","+3","Evan Mobley"
"364",32,32,2022-12-19,"21-184","CLE",H,"UTA","W (+23)","1","30:39","4","6",".667","0","1",".000","4","6",".667","0","8","8","3","0","0","1","2","12","11.3","+18","Evan Mobley"
"365",33,33,2022-12-21,"21-186","CLE",H,"MIL","W (+8)","1","23:01","3","7",".429","0","3",".000","1","2",".500","0","3","3","1","1","1","2","5","7","2.2","-6","Evan Mobley"
"366",34,34,2022-12-23,"21-188","CLE",H,"TOR","L (-11)","1","32:17","5","7",".714","0","0",NA,"0","0",NA,"1","7","8","3","0","1","2","0","10","10.7","-13","Evan Mobley"
"367",35,35,2022-12-26,"21-191","CLE",H,"BRK","L (-8)","1","38:59","5","11",".455","0","3",".000","2","2","1.000","0","6","6","2","1","1","3","3","12","7.0","-6","Evan Mobley"
"368",36,36,2022-12-29,"21-194","CLE","@","IND","L (-9)","1","31:56","5","10",".500","0","1",".000","3","3","1.000","5","2","7","7","2","1","3","2","13","15.9","-18","Evan Mobley"
"369",39,37,2023-01-04,"21-200","CLE",H,"PHO","W (+2)","1","31:46","2","9",".222","0","0",NA,"2","2","1.000","1","7","8","1","2","0","4","1","6","1.6","-8","Evan Mobley"
"370",40,38,2023-01-06,"21-202","CLE","@","DEN","L (-13)","1","34:02","6","13",".462","0","2",".000","0","6",".000","2","7","9","4","1","3","1","4","12","9.7","-3","Evan Mobley"
"371",41,39,2023-01-08,"21-204","CLE","@","PHO","W (+14)","1","34:26","7","10",".700","0","0",NA,"0","0",NA,"0","8","8","6","0","1","3","0","14","14.1","+13","Evan Mobley"
"372",42,40,2023-01-10,"21-206","CLE","@","UTA","L (-2)","1","37:03","5","8",".625","0","0",NA,"2","4",".500","1","6","7","1","1","4","0","6","12","12.2","-8","Evan Mobley"
"373",43,41,2023-01-12,"21-208","CLE","@","POR","W (+6)","1","24:57","6","12",".500","0","1",".000","5","6",".833","5","3","8","3","1","1","0","4","17","17.2","+6","Evan Mobley"
"374",44,42,2023-01-14,"21-210","CLE","@","MIN","L (-8)","1","31:30","6","11",".545","0","2",".000","7","8",".875","2","6","8","1","0","0","3","3","19","13.0","-24","Evan Mobley"
"375",45,43,2023-01-16,"21-212","CLE",H,"NOP","W (+10)","1","39:43","8","10",".800","0","0",NA,"3","4",".750","1","7","8","0","0","1","2","2","19","15.5","+8","Evan Mobley"
